date,sentiment_score,sentiment_volatility,sentiment_momentum
2025-03-02,0.9393,,
2025-03-03,0.296,0.4548817923373061,-0.6433
2025-03-04,0.9001,0.36062638561258936,0.6041000000000001
2025-03-05,0.958,0.3666363366243631,0.05789999999999995
2025-03-12,0.7506,0.10701823832101394,-0.20739999999999992
2025-03-14,-0.4563,0.763748088922868,-1.2069
2025-03-19,-0.5023,0.7104554900437698,-0.045999999999999985
2025-03-20,0.9723,0.8383971930614589,1.4746000000000001
2025-03-21,0.9574,0.8470922086762455,-0.014900000000000024
2025-03-26,0.87615,0.051750032206107806,-0.08125000000000004
2025-03-27,-0.68,0.9227931462864974,-1.5561500000000001
2025-03-31,0.3818,0.7951314341038215,1.0618
2025-04-03,0.2964,0.5899250460863649,-0.08539999999999998
2025-04-04,0.2714,0.057888283212867375,-0.025000000000000022
2025-04-07,0.8466,0.325115384645718,0.5752
2025-04-08,0.0,0.4322893629657491,-0.8466
2025-04-10,-0.13315,0.5314085912302634,-0.13315
